anio,plazo,tipo_insolvencia,entidad,pais,tipo_credito,giro,tipo_poliza,moneda,forma_venta,numero_siniestros,monto_siniestro,monto_pagado,monto_deducible,monto_coaseguros,gastos_ajuste,salvamentos,monto_recuperacion,recuperacion_reaseguro
2015,18,Mora prolongada,Queretaro,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,0,0,0,0,0,1800,,
2015,21,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Otras industrias manufactureras,Global,Nacional,Agentes Persona Fisica,1,731024,731024,0,81224,0,0,,
2015,21,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Otras industrias manufactureras,Global,Nacional,Agentes Persona Fisica,1,59322,0,0,0,0,0,,
2015,21,Mora prolongada,Guanajuato,No aplica (interno),Interno,Fabricacion de productos de hierro y acero de material comprado,Global,Nacional,Agentes Persona Fisica,1,57317,0,0,0,0,0,,
2015,21,Mora prolongada,No aplica (exportacion),E.U.A.,Exportacion,"Confeccion de otros productos textiles, excepto prendas de vestir",Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,417884,463531,0,46431,0,0,,
2015,21,Mora prolongada,Puebla,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,1,0,0,0,0,18595,0,,
2015,22,Mora prolongada,San Luis Potosi,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,0,0,0,0,0,4500,,
2015,22,Mora prolongada,Sinaloa,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,12706,12706,0,1411,0,0,,
2015,22,Mora prolongada,Sinaloa,No aplica (interno),Mixto,Comercio al por mayor de bebidas y tabaco,Global,Nacional,Agentes Persona Fisica,1,112902,112902,0,12544,0,0,,
2015,23,Mora prolongada,Baja California,No aplica (interno),Interno,Elaboracion de productos lacteos,Global,Nacional,Agentes Persona Moral,1,298468,298468,0,33163,0,0,,
2015,25,Mora prolongada,Estado de Mexico,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,694423,0,0,0,0,0,,
2015,26,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de productos derivados del petroleo y del carbon,Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,58000,390277,,
2015,29,Mora prolongada,Jalisco,No aplica (interno),No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,1,0,0,0,0,50000,250000,,
2015,30,Insolvencia de hecho,Aguascalientes,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,460256,0,0,0,0,0,,
2015,30,Insolvencia de hecho,Chiapas,No aplica (interno),Interno,"Fabricacion de jabones, limpiadores y preparaciones de tocador",Global,Nacional,Agentes Persona Moral,1,110207,110207,0,12245,0,0,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Elaboracion de productos lacteos,Global,Nacional,Agentes Persona Moral,1,0,0,0,0,0,2085480,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Agentes Persona Fisica,2,954947,954947,0,106105,0,0,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Fabricacion de computadoras y equipo periferico,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,-150304,124521,0,0,0,0,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Fabricacion de partes para vehiculos automotores,Global,Nacional,Agentes Persona Fisica,1,127403,127403,0,14155,0,0,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Impresion e industrias conexas,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,0,0,0,0,23741,0,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Otras industrias manufactureras,Global,Nacional,Agentes Persona Fisica,2,540000,539999,0,60000,0,0,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Mixto,Fabricacion de productos de plastico,Global,Extranjera,Agentes Persona Fisica,1,0,0,0,0,2310,94751,,
2015,30,Insolvencia de hecho,Distrito Federal,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,328580,328580,0,36508,0,0,,
2015,30,Insolvencia de hecho,Estado de Mexico,No aplica (interno),Interno,Fabricacion de estructuras metalicas y productos de herreria,Global,Nacional,Agentes Persona Fisica,2,44439,108082,0,12009,0,0,,
2015,30,Insolvencia de hecho,Estado de Mexico,No aplica (interno),Interno,Fabricacion de otros productos metalicos,Global,Nacional,Agentes Persona Fisica,1,447190,447190,0,49687,0,0,,
2015,30,Insolvencia de hecho,Estado de Mexico,No aplica (interno),Interno,Fabricacion de otros productos quimicos,Global,Extranjera,Agentes Persona Moral,2,-2946,0,0,0,0,0,,
2015,30,Insolvencia de hecho,Estado de Mexico,No aplica (interno),Interno,"Fabricacion de pinturas, recubrimientos, adhesivos y selladores",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,-207111,0,0,0,23794,0,,
2015,30,Insolvencia de hecho,Estado de Mexico,No aplica (interno),Interno,Otras industrias manufactureras,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,652752,652752,0,72528,0,0,,
2015,30,Insolvencia de hecho,Estado de Mexico,No aplica (interno),Mixto,Industria basica del hierro y del acero,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,0,0,0,0,8175,0,,
2015,30,Insolvencia de hecho,Guanajuato,No aplica (interno),Interno,Elaboracion de productos lacteos,Global,Nacional,Agentes Persona Moral,1,0,354196,0,0,0,0,,
2015,30,Insolvencia de hecho,Guanajuato,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,281158,281158,0,31239,0,0,,
2015,30,Insolvencia de hecho,Jalisco,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,1,18155,18155,0,2017,0,0,,
2015,30,Insolvencia de hecho,Jalisco,No aplica (interno),Interno,Otras industrias manufactureras,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,346573,0,0,0,0,0,,
2015,30,Insolvencia de hecho,No aplica (exportacion),Canada,Mixto,"Conservacion de frutas, verduras y guisos",Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,674482,686911,0,74942,0,0,,
2015,30,Insolvencia de hecho,No aplica (exportacion),E.U.A.,Exportacion,"Conservacion de frutas, verduras y guisos",Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,-67449,230949,0,0,0,0,,
2015,30,Insolvencia de hecho,No aplica (exportacion),E.U.A.,Exportacion,Fabricacion de cemento y productos de concreto,Global,Extranjera,Agentes Persona Moral,1,0,0,0,0,0,38008,,
2015,30,Insolvencia de hecho,No aplica (exportacion),E.U.A.,Exportacion,Otras industrias manufactureras,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,-237,0,0,0,6682,0,,
2015,30,Insolvencia de hecho,Nuevo Leon,No aplica (interno),Interno,Comercio al por mayor de materias primas para la industria,Global,Nacional,Agentes Persona Fisica,2,-1305,282248,0,0,0,0,,
2015,30,Insolvencia de hecho,Nuevo Leon,No aplica (interno),Interno,"Fabricacion de sistemas de aire acondicionado, calefaccion y de",Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,57607,0,0,0,0,0,,
2015,30,Insolvencia de hecho,Nuevo Leon,No aplica (interno),Interno,Impresion e industrias conexas,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,-41305,0,0,0,0,0,,
2015,30,Insolvencia de hecho,Puebla,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,1,-87086,0,0,0,0,0,,
2015,30,Insolvencia de hecho,Quintana Roo,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,4784,0,,
2015,30,Insolvencia de hecho,Tamaulipas,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,1,19445,0,0,0,0,0,,
2015,30,Insolvencia de hecho,Veracruz,No aplica (interno),Mixto,Fabricacion de estructuras metalicas y productos de herreria,Global,Nacional,Agentes Persona Fisica,1,0,425148,0,0,0,45000,,
2015,30,Mora prolongada,Aguascalientes,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,2,281515,0,0,0,20598,0,,
2015,30,Mora prolongada,Aguascalientes,No aplica (interno),Interno,Fabricacion de productos de hierro y acero de material comprado,Global,Nacional,Agentes Persona Fisica,2,662057,0,0,0,18844,0,,
2015,30,Mora prolongada,Aguascalientes,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,1,-112,46167,0,0,0,0,,
2015,30,Mora prolongada,Aguascalientes,No aplica (interno),Mixto,Otro producto al Comercio al por mayor,Global,Extranjera,Agentes Persona Moral,1,228996,255960,0,25444,0,0,,
2015,30,Mora prolongada,Baja California,No aplica (interno),No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,1,0,0,0,0,6328,31642,,
2015,30,Mora prolongada,Baja California,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,8,1691488,1526770,0,169641,62218,0,,
2015,30,Mora prolongada,Baja California,No aplica (interno),Interno,Fabricacion de partes para vehiculos automotores,Global,Nacional,Agentes Persona Fisica,1,128495,0,0,0,0,0,,
2015,30,Mora prolongada,Baja California,No aplica (interno),Interno,Otras construcciones de ingenieria civil u obra pesada,Global,Nacional,Red de Sucursales Bancarias,1,850000,850000,0,0,42500,0,,
2015,30,Mora prolongada,Baja California,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,1,205233,205233,0,22803,0,205233,,
2015,30,Mora prolongada,Baja California,No aplica (interno),Mixto,Fabricacion de vidrio y productos de vidrio,Global,Nacional,Agentes Persona Fisica,1,-412051,0,0,0,0,0,,
2015,30,Mora prolongada,Baja California Sur,No aplica (interno),Interno,Elaboracion de productos lacteos,Global,Nacional,Agentes Persona Moral,1,14597,14597,0,1621,0,0,,
2015,30,Mora prolongada,Baja California Sur,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,1129456,1129456,0,125495,0,0,,
2015,30,Mora prolongada,Baja California Sur,No aplica (interno),Interno,Fabricacion de estructuras metalicas y productos de herreria,Global,Nacional,Agentes Persona Fisica,1,-15776,0,0,0,0,0,,
2015,30,Mora prolongada,Baja California Sur,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,3418,9034,,
2015,30,Mora prolongada,Baja California Sur,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,-39686,0,0,0,0,0,,
2015,30,Mora prolongada,Campeche,No aplica (interno),No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,1,0,0,0,0,7870,0,,
2015,30,Mora prolongada,Campeche,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,2,660431,0,0,0,0,0,,
2015,30,Mora prolongada,Campeche,No aplica (interno),Interno,"Industrias de metales no ferrosos, excepto aluminio",Global,Nacional,Agentes Persona Moral,1,0,0,0,0,64742,0,,
2015,30,Mora prolongada,Campeche,No aplica (interno),Mixto,Fabricacion de estructuras metalicas y productos de herreria,Global,Nacional,Agentes Persona Fisica,2,552589,0,0,0,0,0,,
2015,30,Mora prolongada,Campeche,No aplica (interno),Mixto,Industria basica del hierro y del acero,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,2,52646,52646,0,5849,0,48615,,
2015,30,Mora prolongada,Chiapas,No aplica (interno),Interno,Comercio al por mayor de alimentos y abarrotes,Global,Nacional,Agentes Persona Moral,1,258733,218828,0,0,0,0,,
2015,30,Mora prolongada,Chiapas,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,1,280560,280560,0,31173,0,0,,
2015,30,Mora prolongada,Chiapas,No aplica (interno),Interno,Fabricacion de estructuras metalicas y productos de herreria,Global,Nacional,Agentes Persona Fisica,2,102011,102011,0,11333,0,0,,
2015,30,Mora prolongada,Chiapas,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,83946,83946,0,9327,1509,0,,
2015,30,Mora prolongada,Chihuahua,No aplica (interno),Interno,"Fabricacion de cal, yeso y productos de yeso",Global,Nacional,Agentes Persona Moral,1,0,0,0,0,6005,30024,,
2015,30,Mora prolongada,Chihuahua,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,1,145541,0,0,0,0,0,,
2015,30,Mora prolongada,Chihuahua,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,389,1147,,
2015,30,Mora prolongada,Chihuahua,No aplica (interno),Mixto,Fabricacion de otros productos de madera,Global,Extranjera,Agentes Persona Fisica,1,68220,0,0,0,0,0,,
2015,30,Mora prolongada,Chihuahua,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,93353,0,0,0,0,0,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,1,0,0,0,0,4800,32000,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),Interno,Comercio al por mayor de alimentos y abarrotes,Global,Nacional,Agentes Persona Moral,1,220004,220004,0,0,0,0,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),Interno,Explotacion de bovinos,Global,Nacional,Red de Sucursales Bancarias,1,0,0,0,0,1300,0,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,2,1047102,147102,0,16344,266,0,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),Interno,Fabricacion de estructuras metalicas y productos de herreria,Global,Nacional,Agentes Persona Fisica,1,-22846,0,0,0,0,0,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),Interno,Fabricacion de productos de plastico,Global,Nacional,Agentes Persona Moral,3,33180,33180,0,0,3500,0,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),Interno,"Industrias de metales no ferrosos, excepto aluminio",Global,Nacional,Agentes Persona Moral,3,-631874,0,0,0,87270,0,,
2015,30,Mora prolongada,Coahuila,No aplica (interno),Mixto,Otro producto al Comercio al por mayor,Global,Extranjera,Agentes Persona Moral,1,147498,0,0,0,0,0,,
2015,30,Mora prolongada,Colima,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,3,48943,31986,0,3554,1709,8500,,
2015,30,Mora prolongada,Colima,No aplica (interno),Mixto,Fabricacion de productos de plastico,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,-8721,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,2,0,0,0,0,48070,290466,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Comercio al por mayor de articulos de papeleria, libros, revistas",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,0,0,0,0,-11552,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Comercio al por mayor de maquinaria y equipo para la industria,Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,16150,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Comercio al por mayor de maquinaria y equipo para la industria,Global,Nacional,Red de Sucursales Bancarias,1,271375,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,126137,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Comercio al por menor de computadoras, telefonos y otros aparatos",Global,Nacional,Agentes Persona Fisica,1,1070694,1070694,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Comercio al por menor de computadoras, telefonos y otros aparatos",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,39562,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Elaboracion de productos lacteos,Global,Nacional,Agentes Persona Moral,2,646995,66532,0,7392,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,5,292641,117299,0,13032,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de cemento y productos de concreto,Global,Nacional,Agentes Persona Moral,5,233065,163446,0,18160,1160,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de equipo de audio y de video,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,3,127748,0,0,0,8202,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de partes para vehiculos automotores,Global,Nacional,Agentes Persona Fisica,1,100353,100353,0,11150,2960,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de productos de hierro y acero de material comprado,Global,Nacional,Agentes Persona Fisica,4,882636,920510,0,98070,41439,50992,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de productos de plastico,Global,Extranjera,Agentes Persona Fisica,1,0,0,0,0,0,53253,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de productos de plastico,Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,45841,439063,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de productos de plastico,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,2,1346054,73336,0,8148,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de productos quimicos basicos,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,-93079,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de productos quimicos basicos,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,3,174206,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Impresion e industrias conexas,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,3,-97891,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Industria basica del hierro y del acero,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,3,116841,335686,0,28459,5064,52623,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Industrias de metales no ferrosos, excepto aluminio",Global,Nacional,Agentes Persona Moral,2,5852828,227828,0,0,38524,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Intermediacion al por mayor,Global,Nacional,Agentes Persona Moral,4,1766135,1227692,0,0,51733,100000,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Intermediacion al por mayor,Global,Nacional,Red de Sucursales Bancarias,2,704337,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Agentes Persona Fisica,2,729030,0,0,0,0,23800,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,3,-12825,45000,0,5000,0,39911,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Servicios de preparacion de alimentos por encargo,Global,Nacional,Agentes Persona Moral,1,87480,0,0,0,0,0,,
2015,30,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Servicios de revelado de fotografias y otros servicios personal,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,287324,0,0,0,0,0,,
